"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"08/04/2025","Buy","DDOG","DATADOG INC CLASS A","50","$137.0636","","-$6853.18"
"08/01/2025","Sell","SHOP","SHOPIFY INC FCLASS A","10","$117.03","","$1170.30"
"08/01/2025","Sell","SNOW","SNOWFLAKE INC","10","$209.0101","","$2090.10"
"08/01/2025","Sell","SNOW","SNOWFLAKE INC","100","$209.96","$0.02","$20995.98"
"07/31/2025","Sell","DDOG","DATADOG INC CLASS A","45","$139.51","$0.01","$6277.94"
"07/31/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$352.6888","$0.01","$17634.43"
"07/30/2025","Buy","NVDA","NVIDIA CORP","30","$177.21","","-$5316.30"
"07/30/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","15","$372.954","","-$5594.31"
"07/29/2025","Sell","ROKU","ROKU INC CLASS A","100","$91.17","$0.02","$9116.98"
"07/29/2025","Sell","HUBS","HUBSPOT INC","20","$558.71","","$11174.20"
"07/28/2025","MoneyLink Transfer","","Tfr BANK OF AMERICA, N, JIA NI","","","","-$30000.00"
"07/24/2025","Sell","QBTS","D-WAVE QUANTUM INC","500","$20.015","$0.08","$10007.42"
"07/24/2025","Sell","TEAM","ATLASSIAN CORP CLASS A","60","$200.9677","$0.01","$12058.05"
"07/22/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","20","$405.3532","","-$8107.06"
"07/22/2025","Buy","QBTS","D-WAVE QUANTUM INC","200","$17.5182","","-$3503.64"
"07/18/2025","Sell","NFLX","NETFLIX INC","6","$1210.86","","$7265.16"
"07/17/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","50","$416.9093","","-$20845.47"
"07/17/2025","Sell","QBTS","D-WAVE QUANTUM INC","300","$19.3648","$0.05","$5809.39"
"07/17/2025","Buy","NFLX","NETFLIX INC","15","$1272.45","","-$19086.75"
"07/17/2025","Sell","QBTS","D-WAVE QUANTUM INC","800","$19.24","$0.13","$15391.87"
"07/17/2025","Buy","KKR","KKR & CO INC","1","$146.677","","-$146.68"
"07/16/2025","Buy","DDOG","DATADOG INC CLASS A","50","$139.3509","","-$6967.55"
"07/16/2025 as of 07/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$1.38"
"07/14/2025","Buy","TEAM","ATLASSIAN CORP CLASS A","60","$192.3428","","-$11540.57"
"07/14/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","300","$62.8601","$0.05","$18857.98"
"07/10/2025","Qualified Dividend","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","$211.05"
"07/10/2025","ADR Mgmt Fee","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","-$4.02"
"07/10/2025","Foreign Tax Paid","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","-$44.24"
"07/10/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$210.68"
"07/10/2025","Special Qual Div","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","$190.95"
"07/03/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.10"
"06/24/2025","Buy","HUBS","HUBSPOT INC","20","$552.71","","-$11054.20"
"06/23/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","100","$300.171","$0.02","$30017.08"
"06/18/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","100","$254.1246","","-$25412.46"
"06/16/2025","Qualified Dividend","GOOG","ALPHABET INC CLASS C","","","","$54.60"
"06/16/2025 as of 06/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$2.20"
"06/13/2025","Buy","QBTS","D-WAVE QUANTUM INC","300","$15.04","","-$4512.00"
"06/11/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","400","$14.70","","-$5880.00"
"06/11/2025","Buy","SNOW","SNOWFLAKE INC CLASS A","50","$208.935","","-$10446.75"
"06/11/2025","Buy","QBTS","D-WAVE QUANTUM INC","300","$17.4993","","-$5249.79"
"06/09/2025","Sell","ROKU","ROKU INC CLASS A","140","$79.47","$0.02","$11125.78"
"06/09/2025","Sell","KVYO","KLAVIYO INC","150","$34.71","$0.02","$5206.48"
"06/09/2025","Sell","GOOG","ALPHABET INC CLASS C","50","$177.7109","$0.01","$8885.54"
"06/09/2025","Sell","QBTS","D-WAVE QUANTUM INC","300","$17.975","$0.05","$5392.45"
"06/06/2025","Sell","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","10","$13.835","","$138.35"
"06/06/2025","Buy","QBTS","D-WAVE QUANTUM INC","200","$16.50","","-$3300.00"
"06/05/2025","Sell","TSLA","TESLA INC","34","$297.2947","$0.01","$10108.01"
"06/05/2025","Sell","TSLA","TESLA INC","35","$315.311","$0.01","$11035.88"
"05/30/2025","Buy","QBTS","D-WAVE QUANTUM INC","500","$16.085","","-$8042.50"
"05/30/2025","Buy","SNOW","SNOWFLAKE INC CLASS A","25","$203.8287","","-$5095.72"
"05/30/2025","Sell","NVDA","NVIDIA CORP","100","$137.27","$0.02","$13726.98"
"05/29/2025","Buy","SNOW","SNOWFLAKE INC CLASS A","35","$201.99","","-$7069.65"
"05/29/2025","Sell","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","25","$113.40","","$2835.00"
"05/29/2025","Sell","KKR","KKR & CO INC","50","$121.60","$0.01","$6079.99"
"05/29/2025","Buy","QBTS","D-WAVE QUANTUM INC","300","$17.80","","-$5340.00"
"05/28/2025","Buy","NVDA","NVIDIA CORP","100","$141.30","","-$14130.00"
"05/27/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$120.25","","-$24050.00"
"05/27/2025","Buy","QBTS","D-WAVE QUANTUM INC","1,000","$19.23","","-$19230.00"
"05/23/2025","Buy","SNOW","SNOWFLAKE INC CLASS A","1","$200.00","","-$200.00"
"05/23/2025","Sell","NVDA","NVIDIA CORP","100","$129.34","$0.02","$12933.98"
"05/22/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","1,000","$13.085","","-$13085.00"
"05/22/2025","Buy","KKR","KKR & CO INC","40","$118.07","","-$4722.80"
"05/22/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","200","$48.93","","-$9786.00"
"05/21/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","150","$49.085","","-$7362.75"
"05/21/2025","Sell","QBTS","D-WAVE QUANTUM INC","1,000","$16.93","$0.17","$16929.83"
"05/21/2025","Sell","QBTS","D-WAVE QUANTUM INC","600","$17.21","$0.10","$10325.90"
"05/21/2025","Buy","QBTS","D-WAVE QUANTUM INC","500","$18.45","","-$9225.00"
"05/20/2025","Sell","SHOP","SHOPIFY INC FCLASS A","90","$104.99","$0.01","$9449.09"
"05/20/2025","Buy","QBTS","D-WAVE QUANTUM INC","600","$14.88","","-$8928.00"
"05/16/2025","Buy","QBTS","D-WAVE QUANTUM INC","600","$12.305","","-$7382.99"
"05/16/2025 as of 05/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$3.38"
"05/15/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","300","$52.6209","$0.05","$15786.22"
"05/15/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$123.6067","$0.03","$24721.31"
"05/15/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","35","$248.79","$0.01","$8707.64"
"05/15/2025","Sell","NVDA","NVIDIA CORP","100","$133.95","$0.02","$13394.98"
"05/14/2025","Buy","KKR","KKR & CO INC","10","$129.87","","-$1298.70"
"05/14/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$131.68","","-$26336.00"
"05/14/2025","Buy","NVDA","NVIDIA CORP","100","$132.29","","-$13229.00"
"05/13/2025","Sell","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","50","$110.40","$0.16","$5519.84"
"05/12/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$132.88","$0.77","$26575.23"
"05/12/2025","Buy","SHOP","SHOPIFY INC FCLASS A","100","$102.8886","","-$10288.86"
"05/12/2025","Buy","GOOG","ALPHABET INC CLASS C","100","$156.76","","-$15676.00"
"05/12/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","50","$129.96","","-$6498.00"
"05/12/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","150","$47.65","","-$7147.50"
"05/09/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","50","$125.5581","","-$6277.90"
"05/09/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","35","$213.3512","","-$7467.29"
"05/09/2025","Buy","GOOG","ALPHABET INC CLASS C","35","$155.78","","-$5452.30"
"05/09/2025","ADR Mgmt Fee","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","-$1.45"
"05/09/2025","ADR Mgmt Fee","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","","","","-$0.10"
"05/08/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$124.6092","","-$12460.92"
"05/06/2025","Buy","MSFT","MICROSOFT CORP","30","$433.9802","","-$13019.41"
"05/06/2025","Sell","NVDA","NVIDIA CORP","50","$112.3201","$0.17","$5615.84"
"05/06/2025","Sell Short","MSFT","MICROSOFT CORP","30","$432.6513","$0.36","$12979.18"
"05/02/2025","Sell","UAL","UNITED AIRLINES HLDG","50","$73.49","$0.11","$3674.39"
"05/02/2025","Buy","ROKU","ROKU INC CLASS A","80","$59.6603","","-$4772.82"
"05/01/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","150","$50.89","","-$7633.50"
"04/30/2025","Sell","UAL","UNITED AIRLINES HLDG","150","$66.645","$0.30","$9996.45"
"04/30/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","30","$197.935","$0.17","$5937.88"
"04/28/2025","Sell","TSLA","TESLA INC","50","$275.465","$0.39","$13772.86"
"04/28/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$117.5904","$0.68","$23517.40"
"04/24/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","270","$48.20","","-$13014.00"
"04/24/2025","Buy","NVDA","NVIDIA CORP","50","$105.3687","","-$5268.44"
"04/16/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$109.9953","","-$21999.06"
"04/16/2025 as of 04/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$3.06"
"04/15/2025","Qualified Dividend","OXY","OCCIDENTAL PETE CORP","","","","$2.40"
"04/14/2025","Buy","UAL","UNITED AIRLINES HLDG","200","$65.00","","-$13000.00"
"04/14/2025","Buy","NVDA","NVIDIA CORP","100","$114.76","","-$11476.00"
"04/10/2025","Foreign Tax Paid","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","-$49.81"
"04/10/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$237.19"
"04/10/2025","Sell","UAL","UNITED AIRLINES HLDG","200","$65.65","$0.40","$13129.60"
"04/10/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$106.1649","$0.32","$10616.17"
"04/09/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$104.5601","","-$10456.01"
"04/09/2025","Buy","KVYO","KLAVIYO INC","500","$29.155","","-$14577.50"
"04/09/2025","Buy","GOOG","ALPHABET INC CLASS C","75","$158.1942","","-$11864.57"
"04/09/2025","Sell","SHOP","SHOPIFY INC FCLASS A","200","$78.00","$0.46","$15599.54"
"04/08/2025","Buy","UAL","UNITED AIRLINES HLDG","200","$60.00","","-$12000.00"
"04/08/2025","Buy","KVYO","KLAVIYO INC","200","$27.8416","","-$5568.32"
"04/07/2025","Buy","SHOP","SHOPIFY INC FCLASS A","200","$80.5583","","-$16111.66"
"04/07/2025","Buy","ROKU","ROKU INC CLASS A","100","$56.00","","-$5600.00"
"04/07/2025","Sell","AMZN","AMAZON.COM INC","100","$162.8596","$0.47","$16285.49"
"04/07/2025","Sell","AMZN","AMAZON.COM INC","100","$162.69","$0.47","$16268.53"
"04/07/2025","Sell","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","80","$137.1024","$0.31","$10967.88"
"04/07/2025","Sell","SOFI","SOFI TECHNOLOGIES INC","500","$8.47","$0.20","$4234.80"
"04/07/2025","Sell","META","META PLATFORMS INC CLASS A","25","$478.40","$0.33","$11959.67"
"04/07/2025","Sell","META","META PLATFORMS INC CLASS A","25","$478.00","$0.33","$11949.67"
"04/04/2025","Sell","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","75","$89.7467","$0.20","$6730.80"
"04/04/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","9","$79.255","$0.02","$713.27"
"04/04/2025","Sell","SNOW","SNOWFLAKE INC CLASS A","10","$131.581","$0.04","$1315.77"
"04/04/2025","Sell","OXY","OCCIDENTAL PETE CORP","10","$41.6367","$0.01","$416.36"
"04/04/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","30","$162.0003","$0.14","$4859.87"
"04/04/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","4","$116.75","$0.01","$466.99"
"04/02/2025","Sell","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","150","$97.5833","$0.43","$14637.07"
"04/02/2025","Sell","NVDA","NVIDIA CORP","100","$105.55","$0.31","$10554.69"
"04/02/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$1.10"
"03/24/2025","Buy","KVYO","KLAVIYO INC","150","$33.7936","","-$5069.04"
"03/17/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","500","$43.5368","$0.69","$21767.71"
"03/17/2025","Buy","META","META PLATFORMS INC CLASS A","50","$609.00","","-$30450.00"
"03/17/2025","Qualified Dividend","GOOG","ALPHABET INC CLASS C","","","","$10.00"
"03/17/2025 as of 03/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$2.13"
"03/14/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","60","$180.00","","-$10800.00"
"03/13/2025","Sell","TSLA","TESLA INC","50","$233.715","$0.33","$11685.42"
"03/12/2025","Buy","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","50","$111.00","","-$5550.00"
"03/10/2025","Buy","ROKU","ROKU INC CLASS A","50","$71.45","","-$3572.50"
"03/10/2025","Buy","KVYO","KLAVIYO INC","50","$31.6609","","-$1583.05"
"03/10/2025","Buy","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","50","$105.65","","-$5282.50"
"03/10/2025","Sell","NVDA","NVIDIA CORP","100","$106.6201","$0.32","$10661.69"
"03/10/2025","Sell","AMD","ADVANCED MICRO DEVICE IN","50","$97.87","$0.15","$4893.35"
"03/10/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","110","$133.80","$0.43","$14717.57"
"03/07/2025","Buy","ROKU","ROKU INC CLASS A","75","$75.46","","-$5659.50"
"03/07/2025","Sell","UAL","UNITED AIRLINES HLDGS","100","$82.01","$0.25","$8200.75"
"03/07/2025","Journal","","JOURNAL TO ...819","","","","-$40000.00"
"03/07/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","200","$80.00","$0.47","$15999.53"
"03/07/2025","Sell","SOFI","SOFI TECHNOLOGIES INC","500","$12.315","$0.25","$6157.25"
"03/05/2025","Buy","UAL","UNITED AIRLINES HLDGS","100","$91.365","","-$9136.50"
"03/05/2025","Buy","AMZN","AMAZON.COM INC","50","$208.63","","-$10431.50"
"03/05/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","1,000","$13.3954","","-$13395.40"
"03/05/2025","Buy","GOOG","ALPHABET INC CLASS C","50","$174.75","","-$8737.50"
"03/05/2025","Buy","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$117.77","","-$23554.00"
"03/04/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS A","200","$84.4799","","-$16895.98"
"03/04/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","150","$56.3595","$0.26","$8453.67"
"03/04/2025","Sell","OXY","OCCIDENTAL PETE CORP","190","$45.9506","$0.27","$8730.34"
"03/04/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","150","$129.6701","$0.56","$19449.96"
"03/04/2025","Sell","NVDA","NVIDIA CORP","150","$111.8801","$0.49","$16781.53"
"02/28/2025","Sell","SNOW","SNOWFLAKE INC CLASS A","50","$171.933","$0.25","$8596.40"
"02/27/2025","Sell","SNOW","SNOWFLAKE INC CLASS A","100","$176.325","$0.51","$17631.99"
"02/26/2025","Buy","SNOW","SNOWFLAKE INC CLASS A","50","$183.9899","","-$9199.50"
"02/26/2025","Buy","TSLA","TESLA INC","20","$292.235","","-$5844.70"
"02/26/2025","Sell","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","490","$18.00","$0.33","$8819.67"
"02/25/2025","Sell","AMD","ADVANCED MICRO DEVICE IN","100","$104.1025","$0.31","$10409.94"
"02/24/2025","Buy","ROKU","ROKU INC CLASS A","100","$89.5984","","-$8959.84"
"02/24/2025","Buy","NVDA","NVIDIA CORP","50","$134.57","","-$6728.50"
"02/24/2025","Buy","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","50","$194.02","","-$9701.00"
"02/24/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$129.52","$0.75","$25903.25"
"02/24/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$133.00","$0.39","$13299.61"
"02/24/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$134.2238","$0.39","$13421.99"
"02/24/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","200","$96.8975","$0.57","$19378.94"
"02/21/2025","Buy","KVYO","KLAVIYO INC","100","$41.44","","-$4144.00"
"02/20/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS A","200","$106.7549","","-$21350.98"
"02/20/2025","Sell","SOFI","SOFI TECHNOLOGIES INC","590","$15.4251","$0.35","$9100.46"
"02/19/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","240","$113.75","$0.80","$27299.20"
"02/19/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","50","$123.74","$0.18","$6186.82"
"02/19/2025","Sell","META","META PLATFORMS INC CLASS A","50","$705.70","$0.99","$35284.01"
"02/19/2025","Buy","META","META PLATFORMS INC CLASS A","50","$705.61","","-$35280.50"
"02/19/2025","Buy","OXY","OCCIDENTAL PETE CORP","200","$51.895","","-$10379.00"
"02/19/2025","Journal","UAL","UNITED AIRLINES HLDGS","-1","","",""
"02/19/2025","Journal","UAL","UNITED AIRLINES HLDGS","1","","",""
"02/19/2025","Journal","TSLA","TESLA INC","-151","","",""
"02/19/2025","Journal","TSLA","TESLA INC","151","","",""
"02/19/2025","Journal","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","-300","","",""
"02/19/2025","Journal","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","300","","",""
"02/19/2025","Journal","SOFI","SOFI TECHNOLOGIES INC","-600","","",""
"02/19/2025","Journal","SOFI","SOFI TECHNOLOGIES INC","600","","",""
"02/19/2025","Journal","SNOW","SNOWFLAKE INC CLASS A","-10","","",""
"02/19/2025","Journal","SNOW","SNOWFLAKE INC CLASS A","10","","",""
"02/19/2025","Journal","PLTR","PALANTIR TECHNOLOGIES INCLASS A","-300","","",""
"02/19/2025","Journal","PLTR","PALANTIR TECHNOLOGIES INCLASS A","300","","",""
"02/19/2025","Journal","NVDA","NVIDIA CORP","-310","","",""
"02/19/2025","Journal","NVDA","NVIDIA CORP","310","","",""
"02/19/2025","Journal","EDU","NEW ORIENTAL ED & TECH FSPONSORED ADR 1 ADR REPS 10 ORD SHS","-131","","",""
"02/19/2025","Journal","EDU","NEW ORIENTAL ED & TECH FSPONSORED ADR 1 ADR REPS 10 ORD SHS","131","","",""
"02/19/2025","Journal","NFLX","NETFLIX INC","-1","","",""
"02/19/2025","Journal","NFLX","NETFLIX INC","1","","",""
"02/19/2025","Journal","U","UNITY SOFTWARE INC","-1","","",""
"02/19/2025","Journal","U","UNITY SOFTWARE INC","1","","",""
"02/19/2025","Journal","KVYO","KLAVIYO INC","-450","","",""
"02/19/2025","Journal","KVYO","KLAVIYO INC","450","","",""
"02/19/2025","Journal","ROKU","ROKU INC CLASS A","-700","","",""
"02/19/2025","Journal","ROKU","ROKU INC CLASS A","700","","",""
"02/19/2025","Journal","COIN","COINBASE GLOBAL INC CLASS A","-1","","",""
"02/19/2025","Journal","COIN","COINBASE GLOBAL INC CLASS A","1","","",""
"02/19/2025","Journal","BAND","BANDWIDTH INC CLASS A","-1","","",""
"02/19/2025","Journal","BAND","BANDWIDTH INC CLASS A","1","","",""
"02/19/2025","Journal","AMZN","AMAZON.COM INC","-420","","",""
"02/19/2025","Journal","AMZN","AMAZON.COM INC","420","","",""
"02/19/2025","Journal","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","-665","","",""
"02/19/2025","Journal","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","665","","",""
"02/19/2025","Journal","AMD","ADVANCED MICRO DEVICE IN","-150","","",""
"02/19/2025","Journal","AMD","ADVANCED MICRO DEVICE IN","150","","",""
"02/19/2025","Journal","AFRM","AFFIRM HLDGS INC CLASS A","-650","","",""
"02/19/2025","Journal","AFRM","AFFIRM HLDGS INC CLASS A","650","","",""
"02/18/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","500","$24.50","","-$12250.00"
"02/18/2025","Buy","SNOW","SNOWFLAKE INC CLASS A","100","$191.00","","-$19100.00"
"02/18/2025 as of 02/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$1.82"
"02/14/2025","Buy","TSLA","TESLA INC","150","$361.496","","-$54224.40"
"02/13/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$119.0475","","-$11904.75"
"02/12/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","200","$75.60","$0.45","$15119.55"
"02/11/2025","Buy","EDU","NEW ORIENTAL ED & TECH FSPONSORED ADR 1 ADR REPS 10 ORD SHS","100","$54.51","","-$5451.00"
"02/11/2025","Sell","SOFI","SOFI TECHNOLOGIES INC","500","$14.8239","$0.29","$7411.66"
"02/11/2025","Sell","NFLX","NETFLIX INC","29","$1011.6022","$0.82","$29335.64"
"02/11/2025","Sell","SNOW","SNOWFLAKE INC CLASS A","100","$184.7911","$0.53","$18478.58"
"02/11/2025","ADR Mgmt Fee","EDU","NEW ORIENTAL ED & TECH FSPONSORED ADR 1 ADR REPS 10 ORD SHS","","","","-$0.62"
"02/10/2025","Sell","GBIL","GOLDMAN SACHS ACCES TREAS 0 1 YR ETF","200","$99.922","$0.59","$19983.81"
"02/07/2025","Reinvest Shares","FCNTX","FIDELITY CONTRAFUND","0.007","$22.24","","-$0.16"
"02/07/2025","Long Term Cap Gain Reinvest","FCNTX","FIDELITY CONTRAFUND","","","","$0.16"
"02/07/2025","Cash Dividend","GBIL","GOLDMAN SACHS ACCES TREAS 0 1 YR ETF","","","","$68.99"
"02/04/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","150","$102.3304","$0.45","$15349.11"
"02/04/2025","Buy","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","45","$203.2685","","-$9147.08"
"02/04/2025","Buy","ROKU","ROKU INC CLASS A","100","$81.99","","-$8199.00"
"02/03/2025","Sell","TTD","THE TRADE DESK INC CLASS A","100","$115.2118","$0.34","$11520.84"
"01/28/2025","Buy","NVDA","NVIDIA CORP","100","$123.238","","-$12323.80"
"01/22/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS A","150","$76.1699","","-$11425.49"
"01/22/2025","Buy","NFLX","NETFLIX INC","30","$999.105","","-$29973.15"
"01/21/2025","Buy","AMD","ADVANCED MICRO DEVICE IN","150","$122.08","","-$18312.00"
"01/17/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS A","300","$71.0871","","-$21326.13"
"01/16/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","200","$271.5257","$1.54","$54303.60"
"01/16/2025 as of 01/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$2.45"
"01/15/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","1,000","$15.00","","-$15000.00"
"01/14/2025","Sell","TSLA","TESLA INC","100","$396.1827","$1.12","$39617.15"
"01/13/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","200","$252.74","","-$50548.00"
"01/10/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","500","$56.995","$0.87","$28496.63"
"01/09/2025","Foreign Tax Paid","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","-$32.56"
"01/09/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$155.07"
"01/08/2025","Buy","TSLA","TESLA INC","100","$395.78","","-$39578.00"
"01/08/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","200","$58.92","","-$11784.00"
"01/07/2025","Sell","TSLA","TESLA INC","100","$405.02","$1.15","$40500.85"
"01/07/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","100","$281.28","$0.80","$28127.20"
"01/07/2025","Pr Yr Cash Div","GBIL","GOLDMAN SACHS ACCES TREAS 0 1 YR ETF","","","","$79.85"
"01/03/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","100","$270.615","","-$27061.50"
"01/03/2025","Buy","TSLA","TESLA INC","100","$394.00","","-$39400.00"
"12/30/2024","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$83.75","$0.50","$16749.50"
"12/30/2024","Sell","ROKU","ROKU INC CLASS A","150","$73.73","$0.33","$11059.17"
